IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
138.2.29.250,8080,8080,false,SIN,Asia Pacific,Singapore,204,7.36
168.138.211.131,8880,8880,false,HKG,Asia Pacific,Hong Kong,193,7.35
168.138.212.40,2087,2087,true,HKG,Asia Pacific,Hong Kong,232,7.35
132.145.123.14,2096,2096,true,NRT,Asia Pacific,Tokyo,96,7.35
158.180.47.142,443,443,true,FRA,Europe,Frankfurt,184,7.35
143.47.243.45,443,443,true,FRA,Europe,Frankfurt,194,7.35
158.101.149.122,8443,8443,true,HKG,Asia Pacific,Hong Kong,151,7.35
168.138.163.239,2096,0,true,SIN,Asia Pacific,Singapore,79,7.34
168.138.212.74,2053,2053,true,HKG,Asia Pacific,Hong Kong,231,7.34
150.230.101.13,8880,8880,false,HKG,Asia Pacific,Hong Kong,146,7.34
158.101.136.239,2082,2082,false,HKG,Asia Pacific,Hong Kong,144,7.34
151.145.65.203,2053,2053,true,LAX,North America,Los Angeles,188,7.33
150.230.221.114,8880,8880,false,HKG,Asia Pacific,Hong Kong,138,7.32
158.101.148.221,2053,2053,true,HKG,Asia Pacific,Hong Kong,186,7.31
158.101.146.203,8080,8080,false,NRT,Asia Pacific,Tokyo,91,7.30
140.238.52.81,2087,2087,true,HKG,Asia Pacific,Hong Kong,237,7.30
140.238.95.74,443,443,true,FRA,Europe,Frankfurt,182,7.29
138.2.8.232,2086,2086,false,NRT,Asia Pacific,Tokyo,77,7.29
193.122.51.104,443,443,true,FRA,Europe,Frankfurt,175,7.28
150.230.205.56,2086,2086,false,SIN,Asia Pacific,Singapore,148,7.28
131.186.43.207,2095,2095,false,LAX,North America,Los Angeles,228,7.28
140.238.40.136,80,80,false,LAX,North America,Los Angeles,180,7.28
141.147.8.56,443,443,true,SIN,Asia Pacific,Singapore,183,7.27
132.145.126.204,2087,2087,true,NRT,Asia Pacific,Tokyo,76,7.27
141.147.174.7,2083,2083,true,HKG,Asia Pacific,Hong Kong,140,7.27
140.238.52.81,8443,8443,true,HKG,Asia Pacific,Hong Kong,203,7.26
132.226.9.173,2082,2082,false,HKG,Asia Pacific,Hong Kong,142,7.24
138.2.18.11,8443,8443,true,HKG,Asia Pacific,Hong Kong,162,7.24
132.145.121.242,2052,2052,false,HKG,Asia Pacific,Hong Kong,186,7.23
150.230.108.135,2086,2086,false,HKG,Asia Pacific,Hong Kong,192,7.23
151.145.70.28,80,80,false,NRT,Asia Pacific,Tokyo,129,7.23
140.238.95.74,443,443,true,FRA,Europe,Frankfurt,172,7.22
144.24.186.228,443,443,true,FRA,Europe,Frankfurt,167,7.22
141.148.230.120,443,443,true,FRA,Europe,Frankfurt,162,7.22
150.230.217.63,2053,2053,true,HKG,Asia Pacific,Hong Kong,188,7.22
158.101.148.221,2082,2082,false,HKG,Asia Pacific,Hong Kong,136,7.22
